Time,Name,Color,Mean_gray,Gray
670,NNN157D,purple,125.16333333333336,"[118.24, 141.57, 164.4, 91.62, 116.57, 118.58]"
670,mrfp1,red,145.90333333333334,"[143.99, 144.05, 149.67]"
675,mrfp1,red,145.88666666666666,"[144.01, 144.07, 149.58]"
675,NNN157D,purple,125.35166666666667,"[118.06, 142.35, 164.62, 91.76, 116.43, 118.89]"
680,mrfp1,red,145.88666666666666,"[143.77, 144.17, 149.72]"
680,NNN157D,purple,125.40999999999998,"[117.81, 141.87, 165.09, 91.73, 116.91, 119.05]"
685,mrfp1,red,145.78,"[143.57, 144.62, 149.15]"
685,NNN157D,purple,125.25666666666665,"[117.66, 141.89, 164.95, 91.96, 116.79, 118.29]"
690,mrfp1,red,145.6,"[143.28, 144.16, 149.36]"
690,NNN157D,purple,125.21,"[117.09, 141.62, 164.59, 92.18, 117.29, 118.49]"
695,mrfp1,red,145.56333333333336,"[143.34, 143.74, 149.61]"
695,NNN157D,purple,125.43500000000002,"[118.64, 141.83, 164.97, 91.47, 116.84, 118.86]"
700,mrfp1,red,145.28666666666666,"[142.7, 143.86, 149.3]"
700,NNN157D,purple,125.415,"[118.44, 142.05, 164.36, 91.99, 117.16, 118.49]"
705,mrfp1,red,145.25,"[142.82, 143.12, 149.81]"
705,NNN157D,purple,124.95499999999998,"[117.6, 141.06, 164.15, 91.77, 117.1, 118.05]"
710,NNN157D,purple,125.015,"[117.5, 141.65, 164.27, 92.18, 116.33, 118.16]"
710,mrfp1,red,145.24,"[143.18, 143.39, 149.15]"
715,mrfp1,red,145.07666666666668,"[142.22, 143.41, 149.6]"
715,NNN157D,purple,125.05333333333331,"[118.02, 141.14, 165.14, 91.03, 116.93, 118.06]"
720,mrfp1,red,144.97666666666666,"[142.32, 142.83, 149.78]"
720,NNN157D,purple,125.15999999999998,"[117.8, 142.02, 164.89, 91.07, 116.88, 118.3]"
725,mrfp1,red,144.95333333333335,"[142.15, 142.99, 149.72]"
725,NNN157D,purple,125.47333333333334,"[118.05, 141.86, 164.32, 92.6, 117.48, 118.53]"
